,Title,URL,IssueType,Labels
0,Thread name prefix is not always set when using virtual threads,https://github.com/spring-projects/spring-boot/issues/39961,Bug,0
1,When graceful shutdown of Tomcat is aborted it may report that it completed successfully,https://github.com/spring-projects/spring-boot/issues/39942,Bug,0
2,spring-boot-maven-plugin doesn't work with Java 22,https://github.com/spring-projects/spring-boot/issues/39934,Bug,0
3,Jetty embedded web server includes a JNDI initial context when other servers do not,https://github.com/spring-projects/spring-boot/issues/39932,Bug,0
4,mainClass property of bootJar and bootWar cannot be read unless resolveMainClassName has already executed,https://github.com/spring-projects/spring-boot/issues/39852,Bug,0
5,Remove virtual thread support for Undertow as it leaks memory,https://github.com/spring-projects/spring-boot/issues/39812,Bug,0
6,Resolving a BuildpackReference created from a URL-like String can fail on Windows,https://github.com/spring-projects/spring-boot/issues/39794,Bug,0
7,SpringProfile arbiter fails without a Spring's environment,https://github.com/spring-projects/spring-boot/issues/39787,Bug,0
8,bootStartScripts tasks should be an instance of org.gradle.api.tasks.application.CreateStartScripts rather than its superclass org.gradle.jvm.application.tasks.CreateStartScripts,https://github.com/spring-projects/spring-boot/issues/39765,Bug,0
9,Image building runs for a long time when a long image name is used and the tag contains an illegal character,https://github.com/spring-projects/spring-boot/issues/39639,Bug,0
10,Banner printing doesn't respect set charset,https://github.com/spring-projects/spring-boot/issues/39622,Bug,0
11,"""micrometer.observations.*"" configuration properties should be ""management.observations.*""",https://github.com/spring-projects/spring-boot/issues/39603,Bug,0
12,Metadata reading during configuration class parsing uses the default resource loader rather than the application's resource loader,https://github.com/spring-projects/spring-boot/issues/39599,Bug,0
13,WebFlux auto-configuration should only configure the blocking executor when virtual threads are enabled,https://github.com/spring-projects/spring-boot/issues/39542,Bug,0
14,Creating a RestClient from a RestTemplateBuilder-created RestTemplate requires double configuration of the baseUrl/rootUri,https://github.com/spring-projects/spring-boot/issues/39536,Bug,0
15,"Several gson properties, including spring.gson.disable-html-escaping, do not behave correctly when set to false",https://github.com/spring-projects/spring-boot/issues/39525,Bug,0
16,Property placeholders aren't resolved when configuration property binding creates a Map from a property value using a converter,https://github.com/spring-projects/spring-boot/issues/39516,Bug,0
17,Gradle plugin allows the use of Gradle 7.4 but the documented and tested minimum is 7.5,https://github.com/spring-projects/spring-boot/issues/39514,Bug,0
18,TestcontainersPropertySource assertion has typo,https://github.com/spring-projects/spring-boot/issues/39450,Bug,0
19,Webflux actuator endpoints respond with 500 when a parameter is missing,https://github.com/spring-projects/spring-boot/issues/39445,Bug,0
20,NoSuchMethod error when using the non-shaded Pulsar client and configuring authentications parameters,https://github.com/spring-projects/spring-boot/issues/39424,Bug,0
21,@Async annotations are not working with AdviceMode.ASPECTJ and lazy-initialization=true,https://github.com/spring-projects/spring-boot/issues/39416,Bug,0
22,Jetty GracefulShutdown writes to System.out,https://github.com/spring-projects/spring-boot/issues/39365,Bug,0
23,Auto-configured ConcurrentPulsarListenerContainerFactory and PulsarConsumerFactory cannot be injected into injection points with specific generic type information,https://github.com/spring-projects/spring-boot/issues/39356,Bug,0
24,Building images fails with Docker 25.0 when custom buildpacks are configured,https://github.com/spring-projects/spring-boot/issues/39348,Bug,0
25,Mockito's MockedStatic isn't closed in all cases,https://github.com/spring-projects/spring-boot/issues/39273,Bug,0
26,TracingProperties exposes package-private PropagationType from public methods,https://github.com/spring-projects/spring-boot/issues/39269,Bug,0
27,"Even when spring.security.user.name or spring.security.user.password has been configured, user details auto-configuration still backs off when resource server is on the classpath ",https://github.com/spring-projects/spring-boot/issues/39239,Bug,0
28,Oracle OJDBC BOM version is flagged not for production use,https://github.com/spring-projects/spring-boot/issues/39225,Bug,0
29,MockRestServiceServerAutoConfiguration with RestTemplate and RestClient together throws incorrect exception,https://github.com/spring-projects/spring-boot/issues/39198,Bug,0
30,SslBundle implementations do not provide useful toString() results,https://github.com/spring-projects/spring-boot/issues/39168,Bug,0
31,Having AspectJ and Micrometer on the classpath is not a strong enough signal to enable support for Micrometer observation annotations,https://github.com/spring-projects/spring-boot/issues/39132,Bug,0
32,Configuring server.jetty.max-connections has no effect,https://github.com/spring-projects/spring-boot/issues/39080,Bug,0
33,spring.rabbitmq.listener.stream.auto-startup property has no effect,https://github.com/spring-projects/spring-boot/issues/39079,Bug,0
34,Connection leak when using jOOQ and spring.jooq.sql-dialect has not been set,https://github.com/spring-projects/spring-boot/issues/39077,Bug,0
35,Error mark in the log message for PatternParseException is in the wrong place,https://github.com/spring-projects/spring-boot/issues/39076,Bug,0
36,Throwable from logging system initialization may result in the application silently failing to start,https://github.com/spring-projects/spring-boot/issues/38963,Bug,0
37,AutoConfigurationSorter does not always respect @AutoConfigureOrder(Ordered.LOWEST_PRECEDENCE),https://github.com/spring-projects/spring-boot/issues/38916,Bug,0
38,HibernateJpaAutoConfiguration should be applied before DataSourceTransactionManagerAutoConfiguration,https://github.com/spring-projects/spring-boot/issues/38880,Bug,0
39,logging.include-application-name has no effect when using log4j2,https://github.com/spring-projects/spring-boot/pull/38847,Bug,0
40,Pulsar authentication param properties cause IllegalStateException with Pulsar Client 3.1.0 ,https://github.com/spring-projects/spring-boot/pull/38839,Bug,0
41,TestContainers parallel initialization doesn't work properly ,https://github.com/spring-projects/spring-boot/issues/38831,Bug,0
42,Zip file closed exceptions can be thrown due to StaticResourceJars closing jars from cached connections,https://github.com/spring-projects/spring-boot/issues/38770,Bug,0
43,"Gradle task ""bootJar"" fails with ""Failed to get permissions"" when using Gradle 8.6-milestone-1",https://github.com/spring-projects/spring-boot/issues/38741,Bug,0
44,It is unclear that Docker Compose services have not been started as one or more is already running,https://github.com/spring-projects/spring-boot/issues/38661,Bug,0
45,NoUniqueBeanDefinitionFailureAnalyzer does not account for the fact that missing '-parameters' may be the cause,https://github.com/spring-projects/spring-boot/issues/38652,Bug,0
46,Missing registry auto-configuration for JMS listener observation support,https://github.com/spring-projects/spring-boot/issues/38613,Bug,0
47,Failures due to code not being compiled with '-parameters' are hard to identify,https://github.com/spring-projects/spring-boot/issues/38603,Bug,0
48,System SSL certificates are not used by the Apache HTTP Client in a RestTemplate built with RestTemplateBuilder,https://github.com/spring-projects/spring-boot/issues/38600,Bug,0
49,"ZipFileSystem throws ""java.util.zip.ZipException: read CEN tables failed"" with certain nested jars",https://github.com/spring-projects/spring-boot/issues/38595,Bug,0
50,management.metrics.tags has been deprecated without a replacement working for all metrics,https://github.com/spring-projects/spring-boot/issues/38583,Bug,0
51,Keep-alive property causes processAot step to never finish,https://github.com/spring-projects/spring-boot/issues/38531,Bug,0
52,Setting 'spring.task.scheduling.shutdown.await-termination-period' does not result in a call to SimpleAsyncTaskScheduler#taskTerminationTimeout,https://github.com/spring-projects/spring-boot/issues/38530,Bug,0
53,Setting 'spring.task.execution.shutdown.await-termination-period' does not result in a call to SimpleAsyncTaskExecutor#taskTerminationTimeout,https://github.com/spring-projects/spring-boot/issues/38528,Bug,0
54,Spring Boot 3.2 is not compatible with older versions of Liquibase,https://github.com/spring-projects/spring-boot/issues/38522,Bug,0
55,CRaC restoration fails when Actuator's running on a separate port,https://github.com/spring-projects/spring-boot/issues/38502,Bug,0
56,App fails to start with a NoSuchMethodError when using Flyway 10.0.0,https://github.com/spring-projects/spring-boot/issues/38268,Bug,0
57,MeterRegistry throws BeanCreationNotAllowedException on shutdown,https://github.com/spring-projects/spring-boot/issues/38240,Bug,0
58,Resolution of productionRuntimeClasspath configuration may select the wrong variant and contain a dependency's source jar,https://github.com/spring-projects/spring-boot/issues/38233,Bug,0
59,Docker JSON parsing fails on certain locales,https://github.com/spring-projects/spring-boot/issues/38220,Bug,0
60,spring.webflux.multipart.max-disk-usage-per-part behaves incorrectly for values where the number of bytes overflows an int,https://github.com/spring-projects/spring-boot/issues/38152,Bug,0
61,Apply SslBundleProperties.Key property to PEM keystore and not to the truststore,https://github.com/spring-projects/spring-boot/issues/38125,Bug,0
62,Testcontainers support for various containers does not work in a native-image,https://github.com/spring-projects/spring-boot/issues/38014,Bug,0
63,"Docker Compose integration does not work with 2.23.0 due to 'Cannot invoke ""org.springframework.boot.docker.compose.core.DockerCliInspectResponse.hostConfig()"" because ""inspectResponse"" is null'",https://github.com/spring-projects/spring-boot/issues/37991,Bug,0
64,Constructor binding with a custom collection type does not work,https://github.com/spring-projects/spring-boot/issues/37942,Bug,0
65,@Order does not work on (CommandLine|Application)Runner @Bean methods,https://github.com/spring-projects/spring-boot/issues/37939,Bug,0
66,@ComponentScan on a test class is processed when creating a test context but is not included in the context's cache key,https://github.com/spring-projects/spring-boot/issues/37925,Bug,0
67,Restarter creates memory leak in tests,https://github.com/spring-projects/spring-boot/issues/37921,Bug,0
68,Wrong HandlerMapping ordering for GraphQL WebSocket configuration,https://github.com/spring-projects/spring-boot/issues/37892,Bug,0
69,AOT processing fails when a @WebServlet found by scanning is annotated with @MultipartConfig,https://github.com/spring-projects/spring-boot/issues/37884,Bug,0
70,Gradle plugin uses to-be-deprecated API for getting and setting file permissions,https://github.com/spring-projects/spring-boot/issues/37882,Bug,0
71,Task executor metrics are not registered when using lazy initialization,https://github.com/spring-projects/spring-boot/issues/37839,Bug,0
72,Gradle AOT processing tasks do not use project's Java toolchain,https://github.com/spring-projects/spring-boot/issues/37827,Bug,0
73,@ServiceConnection is not found when used in an interface implemented by a test class,https://github.com/spring-projects/spring-boot/issues/37799,Bug,0
74,Image building can fail when using GraalVM compilation and a remote Docker daemon,https://github.com/spring-projects/spring-boot/issues/37666,Bug,0
75,Missing configuration processing for PartEvent support,https://github.com/spring-projects/spring-boot/issues/37642,Bug,0
76,"When using Jetty, filters, listeners, and servlets are not initialized with the same thread context classloader",https://github.com/spring-projects/spring-boot/pull/37638,Bug,0
77,@WebListener does not work in a native image without additional reflection hints,https://github.com/spring-projects/spring-boot/issues/37636,Bug,0
78,AspectJ transaction management with compile-time weaving does not work with spring.main.lazy-initialization=true,https://github.com/spring-projects/spring-boot/issues/37633,Bug,0
79,Managed types for Neo4j are not used in Neo4j Data auto configuration,https://github.com/spring-projects/spring-boot/issues/37595,Bug,0
80, fileMode and dirMode are not applied to all entries in an archive produced by BootJar,https://github.com/spring-projects/spring-boot/issues/37589,Bug,0
81,"When using checkpoint-restore and Hikari, dependency injection fails if the HikariDataSource has been replaced or wrapped",https://github.com/spring-projects/spring-boot/issues/37580,Bug,0
82,Application fails to start when an optional config import cannot be resolved,https://github.com/spring-projects/spring-boot/issues/37571,Bug,0
83,"Contrary to the documentation, setting spring.jms.listener.concurrency alone configures the maximum concurrency",https://github.com/spring-projects/spring-boot/issues/37554,Bug,0
84,Dependency management for kafka-server-common with a test classifier is missing,https://github.com/spring-projects/spring-boot/issues/37543,Bug,0
85,RepackageMojo doesn't support 1 digit numerical values for project.build.outputTimestamp,https://github.com/spring-projects/spring-boot/issues/37536,Bug,0
86,Excluding ReactiveUserDetailsServiceAutoConfiguration can cause a WebFlux app to fail to start due to a null authentication manager,https://github.com/spring-projects/spring-boot/issues/37504,Bug,0
87,LoggingSystemProperties writes unwanted logging during reinit when logging properties are used,https://github.com/spring-projects/spring-boot/issues/37498,Bug,0
88,Gradle plugin's build info support produces a deprecation warning when using Gradle 8.4-rc-1,https://github.com/spring-projects/spring-boot/issues/37493,Bug,0
89,"When SLF4J and Logback are initialized on multiple threads in parallel, startup may fail due to SubstituteLoggerFactory being considered to be a competing LoggerFactory implementation",https://github.com/spring-projects/spring-boot/issues/37485,Bug,0
90,Saml2RelyingPartyAutoConfiguration ignores `sign-request` when `metadata-url` is used,https://github.com/spring-projects/spring-boot/issues/37483,Bug,0
91,Leaking file descriptor / socket within DomainSocket tooling,https://github.com/spring-projects/spring-boot/issues/37461,Bug,0
92,Invalid Accept header produces HTTP 500 in WelcomePageHandlerMapping,https://github.com/spring-projects/spring-boot/issues/37457,Bug,0
93,Property 'logging.threshold.console' not working,https://github.com/spring-projects/spring-boot/issues/37446,Bug,0
94,"PrivateKeyParser doesn't support ed448, XDH and RSA-PSS keys",https://github.com/spring-projects/spring-boot/issues/37423,Bug,0
95,RestClientSsl is not provided as a bean,https://github.com/spring-projects/spring-boot/issues/37400,Bug,0
96,"""languageVersion is final and cannot be changed"" when using Gradle 8.3 and configuring the Java toolchain's language version",https://github.com/spring-projects/spring-boot/issues/37381,Bug,0
97,AOT processing fails when a @ConfigurationProperties-annotated record has multiple constructors,https://github.com/spring-projects/spring-boot/issues/37337,Bug,0
98,SslStoreBundle implementations aren't immutable,https://github.com/spring-projects/spring-boot/issues/37335,Bug,0
99,OpenTelemetryProperties fail if opentelemetry-sdk-common is not available,https://github.com/spring-projects/spring-boot/issues/37284,Bug,0
100,Spring Boot dependency management not working for ehcache when using Gradle and the dependency management plugin,https://github.com/spring-projects/spring-boot/issues/37271,Bug,0
101,ServiceConnectionContextCustomizer can trigger docker usage during AOT processing,https://github.com/spring-projects/spring-boot/issues/37194,Bug,0
102,Parsing OCI image names that are invalid due to the use of upper case letters is very slow,https://github.com/spring-projects/spring-boot/issues/37184,Bug,0
103,Producing and consuming different tracing propagation formats doesn't work,https://github.com/spring-projects/spring-boot/issues/37179,Bug,0
104,Using https with elliptic curves other than secp384r1 fails,https://github.com/spring-projects/spring-boot/issues/37171,Bug,0
105,Local baggage is propagated when using Brave and W3C,https://github.com/spring-projects/spring-boot/issues/37157,Bug,0
106,Default value metadata for management.otlp.metrics.export.base-time-unit is missing,https://github.com/spring-projects/spring-boot/pull/37094,Bug,0
107,Spring Boot Docker Compose support for Oracle looks for APP_PASSWORD but should look for APP_USER_PASSWORD,https://github.com/spring-projects/spring-boot/issues/37064,Bug,0
108,BindableRuntimeHintsRegistrar does not generate hints for all nested types of a ConfigurationProperties type,https://github.com/spring-projects/spring-boot/issues/37023,Bug,0
109,server.max-http-request-header-size doesn't affect Netty server with http2 enabled,https://github.com/spring-projects/spring-boot/issues/37016,Bug,0
110,AbstractAotMojo should not add source or target if they are null,https://github.com/spring-projects/spring-boot/issues/36973,Bug,0
111,Exception message in ProcessTestAotMojo has a typo,https://github.com/spring-projects/spring-boot/issues/36967,Bug,0
112,"Docker Compose start fails with ""unknown flag: --no-color""",https://github.com/spring-projects/spring-boot/issues/36910,Bug,0
